Nome;Email;Telefone;Idade;Estado;Faixa Etária;Válido
Eduardo souza;juliana.nascimento@gmail.com;(46) 90281-4893;59.0;PR;Adulto;True
Igor oliveira;fernanda.pereira@gmail.com;(65) 94556-1337;57.0;CE;Adulto;True
Juliana pereira;bruno.nascimento@gmail.com;(83) 91713-8235;41.0;RS;Adulto;True
Eduardo nascimento;fernanda.costa@gmail.com;(51) 99917-3657;18.0;BA;Jovem;True
Ana souza;gustavo.almeida@gmail.com;(73) 94739-5448;79.0;CE;Idoso;True
Gustavo oliveira;gustavo.silva@gmail.com;(77) 91977-8606;44.0;RJ;Adulto;True
Ana lima;fernanda.ribeiro@gmail.com;(26) 94089-3831;35.0;GO;Adulto;True
Fernanda nascimento;fernanda.almeida@gmail.com;(22) 98937-1482;40.0;SP;Adulto;True
Carlos pereira;igor.silva@gmail.com;(59) 97672-8122;67.0;PR;Idoso;True
Eduardo oliveira;ana.ribeiro@gmail.com;(66) 99309-6781;46.0;PE;Adulto;True
Daniela pereira;gustavo.ribeiro@gmail.com;(94) 94335-1459;75.0;RJ;Idoso;True
Daniela ribeiro;bruno.ribeiro@gmail.com;(24) 96897-6723;53.0;MG;Adulto;True
Fernanda lima;fernanda.araujo@gmail.com;(88) 97483-4556;22.0;RS;Jovem;True
Fernanda ribeiro;gustavo.oliveira@gmail.com;(16) 91686-3278;29.0;SP;Idoso;True
Eduardo nascimento;ana.souza@gmail.com;(61) 97717-6060;31.0;PE;Adulto;True
Fernanda ribeiro;igor.ribeiro@gmail.com;(79) 96098-4605;57.0;SC;Adulto;True
Eduardo nascimento;helena.almeida@gmail.com;(19) 95572-7612;43.0;PE;Adulto;True
Carlos pereira;igor.oliveira@gmail.com;(74) 93603-6304;79.0;GO;Idoso;True
Bruno pereira;fernanda.araujo@gmail.com;(93) 91277-8686;31.0;SC;Adulto;True
Juliana souza;eduardo.nascimento@gmail.com;(23) 97954-3012;61.0;MG;Idoso;True
Gustavo nascimento;juliana.almeida@gmail.com;(21) 98170-5023;40.0;PE;Adulto;True
Eduardo pereira;gustavo.pereira@gmail.com;(43) 96428-1587;22.0;BA;Jovem;True
Bruno ribeiro;daniela.silva@gmail.com;(62) 99806-8138;60.0;CE;Idoso;True
Daniela lima;helena.nascimento@gmail.com;(52) 91316-5300;41.0;GO;Adulto;True
Ana ribeiro;bruno.ribeiro@gmail.com;(85) 91524-5206;32.0;PE;Adulto;True
Gustavo araujo;gustavo.silva@gmail.com;(26) 93466-6760;68.0;RJ;Idoso;True
Fernanda pereira;igor.souza@gmail.com;(88) 93503-5183;18.0;CE;Jovem;True
Eduardo souza;igor.almeida@gmail.com;(30) 98470-2373;56.0;BA;Adulto;True
Juliana araujo;carlos.lima@gmail.com;(93) 90573-2141;36.0;PE;Adulto;True
Gustavo ribeiro;carlos.lima@gmail.com;(74) 94864-2640;40.0;CE;Adulto;True
Fernanda nascimento;juliana.souza@gmail.com;(85) 97187-1747;28.0;GO;Jovem;True
Carlos nascimento;igor.pereira@gmail.com;(52) 93094-1848;75.0;RS;Idoso;True
Eduardo araujo;carlos.oliveira@gmail.com;(53) 93633-5136;34.0;CE;Adulto;True
Helena almeida;juliana.nascimento@gmail.com;(49) 93205-1524;75.0;BA;Idoso;True
Eduardo lima;gustavo.oliveira@gmail.com;(22) 95702-1405;34.0;RS;Adulto;True
Eduardo pereira;ana.costa@gmail.com;(43) 92796-5848;33.0;GO;Adulto;True
Igor oliveira;helena.souza@gmail.com;(23) 94264-1103;61.0;RJ;Idoso;True
Igor oliveira;daniela.lima@gmail.com;(92) 99770-2639;57.0;RS;Adulto;True
Helena souza;juliana.araujo@gmail.com;(65) 95507-4965;44.0;BA;Adulto;True
Eduardo almeida;helena.silva@gmail.com;(66) 99106-6628;53.0;PR;Adulto;True
Ana lima;igor.pereira@gmail.com;(24) 91546-7632;56.0;BA;Adulto;True
Helena souza;eduardo.nascimento@gmail.com;(25) 97049-9554;64.0;RJ;Idoso;True
Bruno pereira;gustavo.oliveira@gmail.com;(25) 91341-1443;35.0;PR;Adulto;True
Daniela nascimento;igor.ribeiro@gmail.com;(15) 91338-8427;31.0;BA;Adulto;True
Helena lima;igor.araujo@gmail.com;(97) 97783-8146;22.0;BA;Jovem;True
Juliana silva;juliana.souza@gmail.com;(32) 94219-6277;55.0;BA;Adulto;True
Juliana souza;fernanda.silva@gmail.com;(78) 92524-5303;50.0;BA;Adulto;True
Ana ribeiro;ana.araujo@gmail.com;(17) 92821-7327;22.0;SP;Jovem;True
Helena souza;igor.araujo@gmail.com;(76) 97170-1417;66.0;RJ;Idoso;True
Daniela lima;igor.oliveira@gmail.com;(62) 93945-4409;53.0;PE;Adulto;True
Juliana pereira;gustavo.silva@gmail.com;(48) 94532-6741;58.0;MG;Adulto;True
Eduardo araujo;fernanda.nascimento@gmail.com;(29) 97384-9479;21.0;BA;Jovem;True
Juliana lima;fernanda.souza@gmail.com;(98) 92160-7201;65.0;PR;Idoso;True
Juliana silva;carlos.oliveira@gmail.com;(31) 91981-3093;40.0;RJ;Adulto;True
Juliana ribeiro;bruno.almeida@gmail.com;(28) 93694-5996;19.0;SP;Jovem;True
Gustavo nascimento;ana.araujo@gmail.com;(43) 95648-6852;54.0;SC;Adulto;True
Eduardo almeida;igor.oliveira@gmail.com;(16) 96556-1072;20.0;SC;Jovem;True
Eduardo nascimento;bruno.ribeiro@gmail.com;(86) 94742-8512;24.0;PE;Jovem;True
Gustavo pereira;ana.souza@gmail.com;(43) 92176-8447;77.0;MG;Idoso;True
Fernanda nascimento;helena.souza@gmail.com;(51) 95408-6454;79.0;RS;Idoso;True
Eduardo silva;bruno.costa@gmail.com;(68) 97530-5821;70.0;SP;Idoso;True
Helena oliveira;fernanda.pereira@gmail.com;(87) 99920-9324;28.0;CE;Jovem;True
Helena silva;eduardo.pereira@gmail.com;(23) 94084-8225;47.0;SP;Adulto;True
Carlos nascimento;carlos.araujo@gmail.com;(23) 92474-7048;54.0;SP;Adulto;True
Juliana costa;igor.almeida@gmail.com;(13) 94432-9435;22.0;GO;Jovem;True
Fernanda araujo;bruno.ribeiro@gmail.com;(83) 91542-1638;39.0;RJ;Adulto;True
Eduardo pereira;eduardo.costa@gmail.com;(42) 94465-5490;79.0;RS;Idoso;True
Gustavo araujo;carlos.ribeiro@gmail.com;(31) 97981-3411;46.0;GO;Adulto;True
Helena lima;daniela.lima@gmail.com;(48) 96456-6429;70.0;SC;Idoso;True
Ana almeida;igor.pereira@gmail.com;(78) 93805-5252;41.0;RS;Adulto;True
Carlos souza;carlos.costa@gmail.com;(64) 94756-7562;41.0;MG;Adulto;True
Gustavo lima;bruno.costa@gmail.com;(75) 91449-4258;21.0;CE;Jovem;True
Ana araujo;daniela.souza@gmail.com;(64) 99982-9714;36.0;BA;Adulto;True
Carlos nascimento;carlos.costa@gmail.com;(32) 98196-2256;28.0;SC;Jovem;True
Fernanda nascimento;eduardo.almeida@gmail.com;(20) 92643-7649;30.0;PE;Idoso;True
Helena souza;daniela.costa@gmail.com;(63) 92138-9314;75.0;SC;Idoso;True
Igor costa;fernanda.araujo@gmail.com;(63) 98766-5224;35.0;PE;Adulto;True
Ana silva;helena.souza@gmail.com;(75) 95504-2493;19.0;RS;Jovem;True
Eduardo almeida;helena.pereira@gmail.com;(43) 90642-7114;74.0;SC;Idoso;True
Helena araujo;eduardo.araujo@gmail.com;(53) 94071-2927;56.0;CE;Adulto;True
Fernanda silva;gustavo.silva@gmail.com;(66) 97945-9522;34.0;PE;Adulto;True
Daniela souza;igor.costa@gmail.com;(45) 98729-1246;38.0;GO;Adulto;True
Carlos araujo;ana.costa@gmail.com;(95) 95323-9562;63.0;PE;Idoso;True
Bruno souza;daniela.almeida@gmail.com;(18) 90546-9865;28.0;GO;Jovem;True
Helena nascimento;eduardo.lima@gmail.com;(63) 95500-1821;69.0;BA;Idoso;True
Helena almeida;ana.pereira@gmail.com;(74) 99071-8297;40.0;PE;Adulto;True
Igor costa;gustavo.oliveira@gmail.com;(74) 93126-6112;70.0;RS;Idoso;True
Daniela ribeiro;fernanda.souza@gmail.com;(17) 96020-3060;36.0;SC;Adulto;True
Fernanda almeida;bruno.silva@gmail.com;(85) 92448-1434;37.0;PR;Adulto;True
Fernanda oliveira;bruno.souza@gmail.com;(55) 94679-9375;45.0;BA;Adulto;True
Igor costa;carlos.araujo@gmail.com;(60) 97039-8123;39.0;SP;Adulto;True
Juliana nascimento;juliana.oliveira@gmail.com;(63) 96540-7706;66.0;PE;Idoso;True
Daniela oliveira;bruno.oliveira@gmail.com;(69) 99186-1214;35.0;SP;Adulto;True
Ana oliveira;carlos.silva@gmail.com;(24) 90793-8772;47.0;RJ;Adulto;True
Carlos araujo;helena.souza@gmail.com;(15) 91893-8184;19.0;BA;Jovem;True
Fernanda oliveira;bruno.araujo@gmail.com;(38) 91888-6224;27.0;SC;Jovem;True
Fernanda lima;carlos.souza@gmail.com;(38) 94468-9170;29.0;SC;Idoso;True
Fernanda araujo;fernanda.nascimento@gmail.com;(23) 98028-5697;54.0;PR;Adulto;True
Carlos araujo;ana.costa@gmail.com;(62) 96299-9654;78.0;RJ;Idoso;True
Gustavo lima;igor.costa@gmail.com;(56) 95829-1275;78.0;PE;Idoso;True
Daniela nascimento;fernanda.nascimento@gmail.com;(18) 99834-2326;54.0;RJ;Adulto;True
Bruno costa;igor.souza@gmail.com;(96) 99700-6701;34.0;GO;Adulto;True
Gustavo souza;juliana.costa@gmail.com;(34) 95519-6985;30.0;CE;Idoso;True
Daniela ribeiro;igor.nascimento@gmail.com;(94) 99624-2642;42.0;SC;Adulto;True
Eduardo costa;bruno.nascimento@gmail.com;(26) 91092-3313;63.0;SC;Idoso;True
Carlos oliveira;juliana.almeida@gmail.com;(20) 90662-1990;27.0;BA;Jovem;True
Juliana ribeiro;daniela.araujo@gmail.com;(42) 98459-9068;52.0;RJ;Adulto;True
Daniela costa;daniela.silva@gmail.com;(39) 90046-2168;31.0;CE;Adulto;True
Juliana oliveira;daniela.costa@gmail.com;(84) 98837-1874;74.0;GO;Idoso;True
Ana silva;daniela.oliveira@gmail.com;(33) 92835-2477;67.0;RJ;Idoso;True
Bruno nascimento;gustavo.ribeiro@gmail.com;(28) 97438-8063;32.0;RJ;Adulto;True
Carlos pereira;gustavo.oliveira@gmail.com;(23) 90527-8763;63.0;PR;Idoso;True
Carlos oliveira;gustavo.oliveira@gmail.com;(14) 93323-5903;70.0;RJ;Idoso;True
Juliana oliveira;carlos.costa@gmail.com;(77) 96328-8452;58.0;MG;Adulto;True
Helena pereira;juliana.ribeiro@gmail.com;(90) 99622-5423;65.0;SP;Idoso;True
Bruno oliveira;bruno.costa@gmail.com;(25) 99646-1626;33.0;CE;Adulto;True
Gustavo silva;eduardo.almeida@gmail.com;(76) 94197-3737;27.0;PE;Jovem;True
Gustavo souza;igor.silva@gmail.com;(94) 94607-3176;59.0;CE;Adulto;True
Helena souza;gustavo.araujo@gmail.com;(62) 93930-9897;41.0;MG;Adulto;True
Juliana costa;helena.lima@gmail.com;(86) 96387-9159;21.0;PR;Jovem;True
Bruno nascimento;bruno.lima@gmail.com;(92) 98906-9607;42.0;BA;Adulto;True
Igor nascimento;ana.lima@gmail.com;(14) 99883-2338;20.0;CE;Jovem;True
Ana ribeiro;carlos.ribeiro@gmail.com;(55) 94245-2864;65.0;BA;Idoso;True
Helena almeida;bruno.almeida@gmail.com;(86) 95328-7913;73.0;BA;Idoso;True
Igor ribeiro;fernanda.oliveira@gmail.com;(72) 99502-7298;47.0;GO;Adulto;True
Daniela lima;gustavo.nascimento@gmail.com;(38) 97756-4493;23.0;MG;Jovem;True
Helena almeida;fernanda.oliveira@gmail.com;(22) 96617-5149;59.0;RJ;Adulto;True
Eduardo souza;helena.almeida@gmail.com;(87) 98160-2345;78.0;PR;Idoso;True
Gustavo souza;carlos.araujo@gmail.com;(69) 90931-2866;56.0;MG;Adulto;True
Eduardo almeida;ana.silva@gmail.com;(46) 92763-7397;19.0;BA;Jovem;True
Carlos almeida;helena.nascimento@gmail.com;(47) 95863-2341;23.0;PR;Jovem;True
Juliana ribeiro;igor.silva@gmail.com;(13) 99168-2888;55.0;PE;Adulto;True
Fernanda nascimento;carlos.oliveira@gmail.com;(81) 99281-2910;53.0;SC;Adulto;True
Daniela costa;ana.araujo@gmail.com;(61) 93735-2641;20.0;PE;Jovem;True
Fernanda ribeiro;eduardo.pereira@gmail.com;(16) 98388-2168;19.0;PR;Jovem;True
Fernanda ribeiro;gustavo.araujo@gmail.com;(77) 92600-4640;75.0;MG;Idoso;True
Fernanda lima;fernanda.costa@gmail.com;(82) 98205-5585;24.0;SP;Jovem;True
Gustavo nascimento;carlos.araujo@gmail.com;(46) 91242-3879;74.0;PE;Idoso;True
Bruno lima;helena.pereira@gmail.com;(40) 94615-7219;72.0;CE;Idoso;True
Fernanda costa;igor.araujo@gmail.com;(70) 91681-8085;44.0;RJ;Adulto;True
Bruno nascimento;juliana.oliveira@gmail.com;(89) 98305-5590;52.0;SC;Adulto;True
Carlos costa;daniela.costa@gmail.com;(25) 94373-7149;38.0;RJ;Adulto;True
Igor araujo;fernanda.nascimento@gmail.com;(53) 94955-6350;62.0;RS;Idoso;True
Daniela nascimento;daniela.pereira@gmail.com;(67) 99320-4567;50.0;CE;Adulto;True
Eduardo araujo;carlos.nascimento@gmail.com;(20) 92928-3127;65.0;GO;Idoso;True
Igor oliveira;juliana.lima@gmail.com;(18) 93839-4426;55.0;MG;Adulto;True
Bruno silva;ana.ribeiro@gmail.com;(35) 96741-7922;41.0;CE;Adulto;True
Igor lima;helena.pereira@gmail.com;(65) 97470-4255;28.0;RS;Jovem;True
Eduardo almeida;eduardo.ribeiro@gmail.com;(19) 99925-5727;67.0;GO;Idoso;True
Carlos almeida;bruno.pereira@gmail.com;(74) 91822-2224;79.0;MG;Idoso;True
Helena pereira;fernanda.pereira@gmail.com;(88) 99869-5726;50.0;PE;Adulto;True
Eduardo almeida;daniela.araujo@gmail.com;(21) 95062-5382;78.0;SC;Idoso;True
Fernanda araujo;eduardo.araujo@gmail.com;(15) 92544-4524;61.0;PE;Idoso;True
Carlos almeida;bruno.costa@gmail.com;(18) 96130-8195;30.0;PR;Idoso;True
Daniela pereira;ana.araujo@gmail.com;(17) 96169-3583;62.0;MG;Idoso;True
Gustavo costa;ana.lima@gmail.com;(13) 98636-3458;34.0;SP;Adulto;True
Juliana nascimento;gustavo.silva@gmail.com;(49) 91354-7062;69.0;PE;Idoso;True
Carlos ribeiro;igor.araujo@gmail.com;(58) 91637-6105;43.0;PE;Adulto;True
Juliana araujo;bruno.oliveira@gmail.com;(78) 90547-5521;25.0;MG;Jovem;True
Carlos nascimento;bruno.costa@gmail.com;(88) 93353-9689;59.0;SC;Adulto;True
Helena silva;eduardo.lima@gmail.com;(43) 90665-8428;61.0;RJ;Idoso;True
Carlos nascimento;igor.ribeiro@gmail.com;(74) 93699-5498;56.0;PE;Adulto;True
Eduardo nascimento;ana.ribeiro@gmail.com;(94) 92597-5184;47.0;RS;Adulto;True
Eduardo lima;fernanda.pereira@gmail.com;(83) 93232-9093;35.0;CE;Adulto;True
Daniela almeida;helena.pereira@gmail.com;(52) 98842-2370;24.0;RS;Jovem;True
Ana lima;carlos.araujo@gmail.com;(49) 92969-2811;66.0;CE;Idoso;True
Bruno costa;gustavo.pereira@gmail.com;(84) 92285-9724;72.0;PR;Idoso;True
Bruno oliveira;igor.araujo@gmail.com;(47) 93612-4916;68.0;BA;Idoso;True
Carlos ribeiro;fernanda.araujo@gmail.com;(11) 92339-1345;79.0;BA;Idoso;True
Daniela lima;eduardo.ribeiro@gmail.com;(97) 90121-4638;73.0;BA;Idoso;True
Fernanda lima;gustavo.pereira@gmail.com;(18) 91903-5909;40.0;MG;Adulto;True
Igor silva;daniela.lima@gmail.com;(31) 91177-7820;67.0;SP;Idoso;True
Eduardo araujo;juliana.pereira@gmail.com;(78) 99147-2596;51.0;RJ;Adulto;True
Igor almeida;juliana.lima@gmail.com;(28) 97938-2999;52.0;CE;Adulto;True
Carlos nascimento;gustavo.lima@gmail.com;(38) 95712-6623;25.0;MG;Jovem;True
Helena lima;ana.nascimento@gmail.com;(78) 95004-8123;73.0;SP;Idoso;True
Fernanda oliveira;carlos.pereira@gmail.com;(16) 93428-3733;50.0;SC;Adulto;True
Bruno ribeiro;bruno.pereira@gmail.com;(74) 95804-5577;26.0;BA;Jovem;True
Helena lima;juliana.oliveira@gmail.com;(98) 96401-4129;39.0;GO;Adulto;True
Carlos almeida;gustavo.souza@gmail.com;(27) 98723-6991;28.0;SP;Jovem;True
Gustavo nascimento;ana.silva@gmail.com;(94) 97415-5508;68.0;MG;Idoso;True
Igor nascimento;fernanda.araujo@gmail.com;(12) 94215-3813;52.0;SP;Adulto;True
Bruno pereira;daniela.souza@gmail.com;(72) 93733-6336;52.0;RJ;Adulto;True
Juliana almeida;eduardo.costa@gmail.com;(22) 96554-1263;35.0;BA;Adulto;True
Ana ribeiro;ana.pereira@gmail.com;(63) 92187-7777;24.0;CE;Jovem;True
Daniela silva;juliana.silva@gmail.com;(72) 93351-6979;71.0;PR;Idoso;True
Bruno silva;carlos.pereira@gmail.com;(96) 94276-8481;38.0;MG;Adulto;True
Ana almeida;gustavo.ribeiro@gmail.com;(59) 93806-7993;27.0;MG;Jovem;True
Juliana silva;fernanda.oliveira@gmail.com;(72) 97420-8007;71.0;PR;Idoso;True
Igor pereira;ana.pereira@gmail.com;(32) 96122-7787;49.0;PR;Adulto;True
Carlos nascimento;fernanda.pereira@gmail.com;(32) 93239-9553;74.0;MG;Idoso;True
Helena pereira;ana.oliveira@gmail.com;(89) 99468-2939;53.0;MG;Adulto;True
Bruno almeida;carlos.silva@gmail.com;(62) 97525-5115;70.0;MG;Idoso;True
Ana lima;bruno.araujo@gmail.com;(24) 90753-1470;51.0;RS;Adulto;True
Gustavo araujo;ana.souza@gmail.com;(67) 99323-8717;52.0;MG;Adulto;True
Daniela ribeiro;gustavo.souza@gmail.com;(34) 99325-7598;25.0;PR;Jovem;True
Gustavo almeida;ana.ribeiro@gmail.com;(88) 99183-4609;48.0;RJ;Adulto;True
Igor costa;fernanda.nascimento@gmail.com;(87) 95301-1427;67.0;PR;Idoso;True
Helena almeida;helena.oliveira@gmail.com;(72) 92500-1972;55.0;PE;Adulto;True
Fernanda costa;carlos.costa@gmail.com;(40) 92905-9359;46.0;SP;Adulto;True
Gustavo silva;juliana.silva@gmail.com;(56) 98659-5751;57.0;PR;Adulto;True
Carlos silva;gustavo.ribeiro@gmail.com;(83) 98964-2862;35.0;RJ;Adulto;True
Juliana araujo;eduardo.nascimento@gmail.com;(43) 94969-1964;75.0;CE;Idoso;True
Fernanda pereira;daniela.almeida@gmail.com;(16) 96307-9724;48.0;PR;Adulto;True
Gustavo araujo;juliana.souza@gmail.com;(69) 98433-6146;46.0;CE;Adulto;True
Eduardo almeida;bruno.silva@gmail.com;(95) 98869-9184;57.0;GO;Adulto;True
Ana souza;helena.silva@gmail.com;(98) 96845-6118;47.0;PE;Adulto;True
Helena costa;juliana.lima@gmail.com;(43) 99204-8960;41.0;PR;Adulto;True
Juliana almeida;juliana.costa@gmail.com;(21) 91042-5664;66.0;SC;Idoso;True
Daniela pereira;bruno.ribeiro@gmail.com;(59) 98531-5438;58.0;BA;Adulto;True
Daniela lima;eduardo.lima@gmail.com;(74) 93311-1734;33.0;GO;Adulto;True
Gustavo ribeiro;igor.nascimento@gmail.com;(99) 90680-4548;67.0;SC;Idoso;True
Ana silva;juliana.araujo@gmail.com;(89) 94894-4176;24.0;PR;Jovem;True
Ana pereira;juliana.ribeiro@gmail.com;(52) 95458-9892;35.0;CE;Adulto;True
Helena lima;bruno.araujo@gmail.com;(15) 92530-8747;36.0;RJ;Adulto;True
Ana souza;fernanda.pereira@gmail.com;(35) 94848-9762;19.0;SC;Jovem;True
Gustavo souza;fernanda.ribeiro@gmail.com;(52) 93474-2295;72.0;RS;Idoso;True
Juliana pereira;carlos.almeida@gmail.com;(70) 99069-6528;62.0;GO;Idoso;True
Ana lima;juliana.oliveira@gmail.com;(90) 90719-7340;30.0;PE;Idoso;True
Bruno silva;carlos.silva@gmail.com;(28) 99246-9080;45.0;PR;Adulto;True
Bruno oliveira;igor.silva@gmail.com;(27) 95857-9520;39.0;SP;Adulto;True
Bruno nascimento;carlos.souza@gmail.com;(89) 95486-2561;65.0;SP;Idoso;True
Gustavo oliveira;fernanda.nascimento@gmail.com;(41) 92916-5888;74.0;SP;Idoso;True
Bruno oliveira;gustavo.lima@gmail.com;(91) 93362-6085;46.0;MG;Adulto;True
Gustavo lima;juliana.souza@gmail.com;(14) 91389-3562;24.0;MG;Jovem;True
Fernanda lima;eduardo.nascimento@gmail.com;(77) 97123-9784;20.0;SC;Jovem;True
Juliana araujo;gustavo.lima@gmail.com;(47) 96543-9218;57.0;GO;Adulto;True
Daniela almeida;eduardo.oliveira@gmail.com;(35) 96271-4966;63.0;BA;Idoso;True
Eduardo silva;gustavo.oliveira@gmail.com;(22) 96659-9313;27.0;MG;Jovem;True
Fernanda almeida;igor.almeida@gmail.com;(58) 91851-9440;23.0;BA;Jovem;True
Juliana oliveira;igor.costa@gmail.com;(39) 92120-5366;38.0;SC;Adulto;True
Daniela costa;bruno.araujo@gmail.com;(29) 94081-9062;53.0;MG;Adulto;True
Gustavo lima;carlos.ribeiro@gmail.com;(85) 92698-3714;30.0;CE;Idoso;True
Gustavo costa;carlos.oliveira@gmail.com;(41) 93776-3264;28.0;SC;Jovem;True
Daniela araujo;carlos.silva@gmail.com;(97) 94728-7622;45.0;RJ;Adulto;True
Juliana almeida;gustavo.araujo@gmail.com;(17) 94871-3410;61.0;SP;Idoso;True
Ana costa;bruno.oliveira@gmail.com;(13) 90443-8187;40.0;SC;Adulto;True
Bruno souza;bruno.nascimento@gmail.com;(11) 95848-4570;30.0;BA;Idoso;True
Daniela costa;ana.silva@gmail.com;(37) 97875-9665;44.0;RS;Adulto;True
Ana araujo;gustavo.ribeiro@gmail.com;(87) 93674-9076;43.0;PR;Adulto;True
Gustavo costa;ana.oliveira@gmail.com;(71) 93038-5999;58.0;CE;Adulto;True
Igor araujo;daniela.nascimento@gmail.com;(23) 92612-5580;69.0;SP;Idoso;True
Gustavo souza;fernanda.nascimento@gmail.com;(76) 96434-9246;20.0;BA;Jovem;True
Daniela nascimento;ana.silva@gmail.com;(90) 98773-7870;71.0;MG;Idoso;True
Ana araujo;gustavo.nascimento@gmail.com;(16) 95563-1640;52.0;PR;Adulto;True
Daniela pereira;igor.oliveira@gmail.com;(15) 99480-6172;77.0;CE;Idoso;True
Daniela almeida;fernanda.oliveira@gmail.com;(23) 96745-9894;68.0;RJ;Idoso;True
Bruno costa;gustavo.souza@gmail.com;(56) 94229-4080;20.0;RJ;Jovem;True
Eduardo souza;juliana.oliveira@gmail.com;(60) 97114-2057;42.0;SP;Adulto;True
Juliana ribeiro;fernanda.araujo@gmail.com;(19) 97716-9927;74.0;GO;Idoso;True
Gustavo oliveira;gustavo.araujo@gmail.com;(89) 96240-2571;74.0;RS;Idoso;True
Helena araujo;gustavo.costa@gmail.com;(84) 94993-7476;25.0;SP;Jovem;True
Carlos pereira;juliana.costa@gmail.com;(98) 98947-9775;54.0;CE;Adulto;True
Gustavo nascimento;juliana.souza@gmail.com;(80) 96942-5847;21.0;RJ;Jovem;True
Helena oliveira;igor.araujo@gmail.com;(68) 93227-2075;41.0;RJ;Adulto;True
Carlos almeida;eduardo.oliveira@gmail.com;(90) 94654-9181;60.0;CE;Idoso;True
Igor silva;juliana.lima@gmail.com;(91) 99408-8228;64.0;BA;Idoso;True
Fernanda souza;juliana.almeida@gmail.com;(89) 96876-8871;54.0;CE;Adulto;True
Igor lima;bruno.ribeiro@gmail.com;(91) 94943-8678;46.0;CE;Adulto;True
Igor souza;juliana.nascimento@gmail.com;(10) 97070-7444;30.0;SP;Idoso;True
Ana lima;gustavo.lima@gmail.com;(16) 90517-5265;62.0;BA;Idoso;True
Daniela oliveira;ana.lima@gmail.com;(52) 92987-3458;21.0;SC;Jovem;True
Eduardo ribeiro;gustavo.silva@gmail.com;(17) 91359-9316;18.0;PE;Jovem;True
Helena almeida;ana.ribeiro@gmail.com;(64) 96844-9600;52.0;MG;Adulto;True
Ana souza;igor.araujo@gmail.com;(88) 96353-3320;23.0;CE;Jovem;True
Gustavo pereira;eduardo.nascimento@gmail.com;(74) 93702-7508;46.0;SP;Adulto;True
Gustavo pereira;eduardo.costa@gmail.com;(87) 99981-9837;53.0;BA;Adulto;True
Ana souza;eduardo.nascimento@gmail.com;(12) 95955-1401;40.0;MG;Adulto;True
