nome,email,telefone,idade,estado
Fernanda Silva,carlos.oliveira@hotmail.com,(40) 91700-6255,53.0,PR
Bruno Lima,,(85) 98090-1148,68.0,GO
Carlos Araujo,carlos.lima@yahoo.com.br,(54) 99132-2076,23.0,SP
Eduardo Silva,carlos.almeida@yahoo.com.br,(26) 94545-7041,24.0,RS
Bruno Araujo,,(70) 97170-4830,59.0,PR
Gustavo Costa,helena.lima@hotmail.com,(51) 90698-7906,66.0,PE
Fernanda Ribeiro,gustavo.oliveira@gmail.com,(16) 91686-3278,29.0,SP
Juliana Nascimento,fernanda.araujo@empresa.com,(68) 91962-7855,22.0,RS
Bruno Ribeiro,,(36) 99949-4750,22.0,GO
Juliana Pereira,ana.souza@hotmail.com,(63) 90020-2390,24.0,SP
Eduardo Silva,bruno.oliveira@empresa.com,(90) 97330-3840,76.0,BA
Gustavo Silva,eduardo.souza@hotmail.com,(53) 95501-9272,,PE
Igor Nascimento,bruno.costa@empresa.com,(36) 92083-8120,20.0,GO
Daniela Costa,igor.lima@empresa.com,(52) 94259-3237,48.0,PR
Gustavo Souza,igor.nascimento@yahoo.com.br,(10) 91347-3097,65.0,BA
Fernanda Araujo,gustavo.silva@hotmail.com,(92) 92172-1941,58.0,XX
Fernanda Souza,ana.nascimento@hotmail.com,(51) 93649-1705,27.0,SP
Eduardo Nascimento,ana.souza@gmail.com,(61) 97717-6060,31.0,PE
Eduardo Ribeiro,helena.araujo@yahoo.com.br,,29.0,MG
Fernanda Ribeiro,igor.ribeiro@gmail.com,(79) 96098-4605,57.0,SC
Eduardo Nascimento,helena.almeida@gmail.com,(19) 95572-7612,43.0,PE
Carlos Pereira,igor.oliveira@gmail.com,(74) 93603-6304,79.0,GO
Gustavo Ribeiro,daniela.souza@empresa.com,(32) 99102-8548,19.0,BA
Carlos Araujo,carlos.araujo@empresa.com,(97) 91744-9340,50.0,SP
Juliana Lima,juliana.costa@hotmail.com,(40) 93895-7204,29.0,CE
Gustavo Nascimento,,(29) 91814-6646,53.0,PE
Ana Lima,,(85) 96798-5151,72.0,CE
Eduardo Pereira,carlos.ribeiro@hotmail.com,(76) 97648-2034,64.0,SP
Gustavo Araujo,,(34) 93428-1772,66.0,CE
Juliana Costa,gustavo.souza@yahoo.com.br,(26) 92637-2574,52.0,PE
Helena Almeida,carlos.souza@empresa.com,(80) 98413-1759,72.0,BA
Helena Pereira,carlos.silva@empresa.com,(22) 98386-3554,21.0,PR
Igor Almeida,daniela.nascimento@hotmail.com,(20) 95478-6508,50.0,RJ
Carlos Souza,eduardo.pereira@yahoo.com.br,(96) 91435-3192,44.0,MG
Eduardo Nascimento,helena.costa@yahoo.com.br,(57) 91645-3922,58.0,GO
Juliana Costa,daniela.ribeiro@yahoo.com.br,(79) 93120-4195,79.0,BA
Bruno Pereira,fernanda.araujo@gmail.com,(93) 91277-8686,31.0,SC
Eduardo Pereira,gustavo.nascimento@empresa.com,(19) 99713-5982,72.0,CE
Daniela Oliveira,ana.almeida@yahoo.com.br,(99) 95601-6991,68.0,PR
Ana Silva,igor.costa@yahoo.com.br,(65) 96360-7173,55.0,PE
Daniela Almeida,carlos.costa@hotmail.com,(35) 96733-8394,21.0,GO
Juliana Souza,eduardo.nascimento@gmail.com,(23) 97954-3012,61.0,MG
Helena Ribeiro,carlos.lima@yahoo.com.br,(15) 93738-5998,26.0,CE
Juliana Pereira,carlos.souza@empresa.com,(98) 97857-5397,55.0,RJ
Gustavo Almeida,igor.pereira@yahoo.com.br,(66) 95583-7236,44.0,SC
Gustavo Pereira,igor.costa@hotmail.com,(89) 92829-4410,72.0,PE
Carlos Silva,eduardo.costa@hotmail.com,(16) 92137-4029,34.0,SC
Bruno Ribeiro,eduardo.silva@yahoo.com.br,(32) 92114-4784,65.0,PE
Daniela Oliveira,,(67) 91500-7593,29.0,GO
Igor Almeida,eduardo.lima@yahoo.com.br,(49) 93735-4558,19.0,PR
Ana Nascimento,fernanda.lima@hotmail.com,(34) 95826-2384,52.0,CE
Daniela Souza,helena.costa@hotmail.com,(89) 97399-3618,80.0,CE
Helena Oliveira,carlos.pereira@yahoo.com.br,(18) 91125-6189,24.0,MG
Helena Nascimento,bruno.souza@yahoo.com.br,(88) 92649-8240,52.0,SC
Igor Araujo,carlos.pereira@hotmail.com,(11) 99476-4478,20.0,PE
Fernanda Almeida,carlos.almeida@yahoo.com.br,(63) 97719-8028,74.0,SC
Juliana Nascimento,eduardo.nascimento@hotmail.com,(26) 90777-2910,21.0,CE
Gustavo Nascimento,juliana.almeida@gmail.com,(21) 98170-5023,40.0,PE
Helena Oliveira,juliana.souza@empresa.com,(19) 90657-2879,46.0,PR
Helena Almeida,helena.almeida@empresa.com,,34.0,XX
Eduardo Pereira,gustavo.pereira@gmail.com,(43) 96428-1587,22.0,BA
Eduardo Nascimento,daniela.lima@empresa.com,,35.0,MG
Helena Pereira,carlos.almeida@yahoo.com.br,(92) 90767-6100,21.0,PR
Eduardo Almeida,carlos.silva@yahoo.com.br,(59) 96841-9762,31.0,SP
Bruno Lima,daniela.nascimento@yahoo.com.br,(54) 91457-1341,18.0,CE
Daniela Lima,igor.ribeiro@empresa.com,(86) 95870-4449,80.0,RJ
Fernanda Costa,carlos.souza@empresa.com,(91) 92975-3219,40.0,RS
Igor Souza,helena.costa@yahoo.com.br,(77) 93769-3992,79.0,MG
Carlos Oliveira,ana.nascimento@yahoo.com.br,(11) 92728-6579,20.0,RJ
Daniela Ribeiro,ana.souza@hotmail.com,(33) 95038-5388,58.0,PR
Carlos Pereira,,(79) 90364-9056,78.0,RJ
Bruno Ribeiro,daniela.silva@gmail.com,(62) 99806-8138,60.0,CE
Gustavo Costa,,(70) 96535-6152,53.0,SC
Igor Almeida,,(83) 95775-3690,37.0,PE
Gustavo Silva,gustavo.araujo@hotmail.com,(22) 94199-7941,27.0,SC
Daniela Ribeiro,daniela.costa@empresa.com,(19) 92722-5840,43.0,GO
Gustavo Araujo,igor.nascimento@empresa.com,(40) 94246-8431,48.0,BA
Ana Araujo,carlos.lima@yahoo.com.br,(97) 91078-2248,63.0,PE
Gustavo Almeida,juliana.pereira@empresa.com,(75) 94347-8626,69.0,PE
Ana Costa,fernanda.pereira@hotmail.com,(25) 99142-3590,74.0,GO
Eduardo Ribeiro,eduardo.silva@yahoo.com.br,(37) 94367-5440,57.0,RS
Gustavo Nascimento,ana.souza@yahoo.com.br,(47) 94561-8439,45.0,PE
Igor Araujo,igor.souza@empresa.com,(95) 94949-9779,53.0,SP
Daniela Almeida,,(55) 96472-6085,35.0,MG
Daniela Lima,helena.nascimento@gmail.com,(52) 91316-5300,41.0,GO
Gustavo Almeida,,(90) 96028-8593,49.0,SC
Ana Ribeiro,bruno.ribeiro@gmail.com,(85) 91524-5206,32.0,PE
Fernanda Ribeiro,fernanda.oliveira@yahoo.com.br,(17) 97858-2052,37.0,RS
Carlos Almeida,eduardo.lima@yahoo.com.br,(84) 91397-5420,71.0,SP
Carlos Araujo,eduardo.costa@empresa.com,(78) 92124-8220,18.0,PR
Igor Silva,,(46) 96497-2888,21.0,MG
Gustavo Araujo,gustavo.silva@gmail.com,(26) 93466-6760,68.0,RJ
Juliana Silva,igor.pereira@hotmail.com,(56) 92413-6489,32.0,CE
Bruno Ribeiro,igor.costa@yahoo.com.br,(24) 93407-8233,32.0,MG
Carlos Almeida,bruno.almeida@empresa.com,(11) 96770-8677,57.0,CE
Carlos Silva,juliana.araujo@empresa.com,(95) 93567-1987,23.0,SC
Eduardo Ribeiro,daniela.almeida@yahoo.com.br,(96) 97550-1432,33.0,SC
Fernanda Pereira,igor.souza@gmail.com,(88) 93503-5183,18.0,CE
Helena Costa,ana.costa@yahoo.com.br,(60) 92636-1833,46.0,PR
Fernanda Ribeiro,daniela.araujo@empresa.com,(53) 93475-2896,42.0,MG
Eduardo Ribeiro,bruno.oliveira@hotmail.com,(21) 99538-4117,46.0,SP
Eduardo Souza,igor.almeida@gmail.com,(30) 98470-2373,56.0,BA
Helena Silva,igor.nascimento@hotmail.com,(36) 95250-1215,63.0,MG
Igor Silva,eduardo.nascimento@yahoo.com.br,(89) 98197-5970,19.0,CE
Fernanda Pereira,gustavo.araujo@yahoo.com.br,(51) 95566-1178,65.0,RJ
Bruno Silva,juliana.araujo@hotmail.com,(60) 98346-2949,24.0,RJ
Ana Pereira,gustavo.araujo@yahoo.com.br,(97) 91419-5343,75.0,SC
Daniela Silva,igor.nascimento@hotmail.com,(68) 98228-6466,37.0,SP
Juliana Oliveira,carlos.araujo@empresa.com,(91) 96667-3638,23.0,BA
Daniela Oliveira,ana.lima@yahoo.com.br,(60) 92655-8570,67.0,CE
Helena Souza,fernanda.almeida@yahoo.com.br,(32) 95075-4769,64.0,RS
Juliana Pereira,juliana.oliveira@yahoo.com.br,(25) 94997-5409,19.0,RS
Helena Lima,helena.souza@yahoo.com.br,(62) 95749-2364,63.0,RS
Fernanda Oliveira,eduardo.almeida@yahoo.com.br,(44) 99711-8411,69.0,PE
Juliana Araujo,carlos.lima@gmail.com,(93) 90573-2141,36.0,PE
Bruno Oliveira,gustavo.pereira@hotmail.com,(59) 93480-4999,45.0,GO
Eduardo Souza,ana.souza@empresa.com,(51) 95313-5651,50.0,XX
Juliana Silva,juliana.nascimento@yahoo.com.br,(10) 91462-3049,71.0,RS
Eduardo Araujo,gustavo.lima@hotmail.com,(27) 91202-9539,50.0,PE
Gustavo Ribeiro,carlos.lima@gmail.com,(74) 94864-2640,40.0,CE
Daniela Souza,carlos.pereira@hotmail.com,(26) 90879-6863,67.0,XX
Juliana Pereira,igor.pereira@yahoo.com.br,(41) 90916-9526,35.0,MG
Bruno Lima,juliana.almeida@hotmail.com,(39) 90389-3490,79.0,SC
Juliana Souza,carlos.nascimento@hotmail.com,(33) 92482-1648,66.0,MG
Juliana Silva,daniela.pereira@hotmail.com,(49) 91131-9188,33.0,RS
Fernanda Nascimento,juliana.souza@gmail.com,(85) 97187-1747,28.0,GO
Gustavo Costa,carlos.souza@yahoo.com.br,(97) 96616-9691,56.0,MG
Bruno Nascimento,igor.almeida@yahoo.com.br,(80) 92603-3697,40.0,RS
Fernanda Silva,ana.ribeiro@yahoo.com.br,(62) 97346-5743,27.0,SC
Gustavo Almeida,carlos.araujo@empresa.com,(12) 90117-8878,56.0,MG
Bruno Ribeiro,daniela.oliveira@yahoo.com.br,(51) 94810-7709,21.0,RJ
Fernanda Almeida,,(95) 99792-6735,67.0,MG
Carlos Ribeiro,ana.araujo@empresa.com,(24) 92312-2486,66.0,SP
Carlos Nascimento,igor.pereira@gmail.com,(52) 93094-1848,75.0,RS
